0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:23:42 +0900] "GET /ctc/resources/image/footer.png HTTP/1.1" 200 29210
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:23:42 +0900] "GET /ctc/resources/image/ctc.png HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:23:42 +0900] "GET /ctc/resources/image/search.png HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:23:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:24:03 +0900] "GET /ctc/mypage/myQna.do HTTP/1.1" 200 16712
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:24:03 +0900] "GET /ctc/resources/image/logo.png HTTP/1.1" 200 19053
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:24:03 +0900] "GET /ctc/resources/image/ctc.png HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:24:03 +0900] "GET /ctc/resources/image/search.png HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:24:03 +0900] "GET /ctc/resources/image/footer.png HTTP/1.1" 200 29210
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:24:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:24:52 +0900] "GET /ctc/mypage/myQna.do HTTP/1.1" 200 16727
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:24:52 +0900] "GET /ctc/resources/image/logo.png HTTP/1.1" 200 19053
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:24:52 +0900] "GET /ctc/resources/image/ctc.png HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:24:52 +0900] "GET /ctc/resources/image/search.png HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:24:52 +0900] "GET /ctc/resources/image/footer.png HTTP/1.1" 200 29210
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:24:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:27:19 +0900] "GET /ctc/mypage/myQna.do HTTP/1.1" 200 16712
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:27:19 +0900] "GET /ctc/resources/image/ctc.png HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:27:19 +0900] "GET /ctc/resources/image/search.png HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:27:19 +0900] "GET /ctc/resources/image/logo.png HTTP/1.1" 200 19053
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:27:19 +0900] "GET /ctc/resources/image/footer.png HTTP/1.1" 200 29210
0:0:0:0:0:0:0:1 - - [13/Apr/2023:09:27:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
